Latitude (decimal degrees): 59.905
Longitude (decimal degrees): 10.896
Elevation (m): 361.0
month,year
1,2006
2,2009
3,2008
4,2008
5,2017
6,2009
7,2018
8,2016
9,2017
10,2017
11,2009
12,2016
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,0.26,90.61,0.0,-0.0,0.0,279.12,2.85,6.0,95755.0
20060101:0100,-0.45,89.87,0.0,-0.0,0.0,281.57,2.78,6.0,95736.0
20060101:0200,-1.16,89.13,0.0,-0.0,0.0,284.01,2.71,6.0,95755.0
20060101:0300,-1.87,88.38,0.0,-0.0,0.0,286.45,2.64,6.0,95755.0
20060101:0400,-2.58,87.64,0.0,-0.0,0.0,288.9,2.57,7.0,95793.0
20060101:0500,-3.3,86.9,0.0,-0.0,0.0,291.34,2.5,7.0,95813.0
20060101:0600,-4.01,86.16,0.0,-0.0,0.0,293.78,2.43,6.0,95870.0
20060101:0700,-4.72,85.42,0.0,-0.0,0.0,296.23,2.36,3.0,95947.0
20060101:0800,-2.42,88.45,0.0,-0.0,0.0,293.85,1.86,1.0,96033.0
20060101:0900,-2.56,89.15,5.0,0.0,5.0,286.7,1.66,359.0,96110.0
20060101:1000,-2.42,88.4,12.0,0.0,12.0,287.7,1.52,358.0,96177.0
20060101:1100,-2.31,87.9,72.0,195.05,48.0,284.2,1.38,357.0,96244.0
20060101:1200,-2.3,88.75,11.0,0.0,11.0,286.35,1.03,348.0,96292.0
20060101:1300,-2.62,90.25,5.0,0.0,5.0,278.45,0.97,334.0,96340.0
20060101:1400,-2.77,90.95,0.0,-0.0,0.0,282.5,1.1,318.0,96397.0
20060101:1500,-3.04,91.75,0.0,-0.0,0.0,284.6,1.03,315.0,96474.0
20060101:1600,-3.6,92.05,0.0,-0.0,0.0,271.85,0.97,314.0,96541.0
20060101:1700,-3.69,91.55,0.0,-0.0,0.0,272.65,0.83,311.0,96608.0
20060101:1800,-3.75,92.25,0.0,-0.0,0.0,269.15,0.69,307.0,96675.0
20060101:1900,-4.29,92.3,0.0,-0.0,0.0,249.3,0.62,296.0,96751.0
20060101:2000,-4.35,92.6,0.0,-0.0,0.0,242.95,0.55,300.0,96799.0
20060101:2100,-4.85,92.8,0.0,-0.0,0.0,236.6,0.62,312.0,96876.0
20060101:2200,-5.36,91.85,0.0,-0.0,0.0,234.25,0.69,315.0,96953.0
20060101:2300,-5.78,91.5,0.0,-0.0,0.0,233.1,0.69,323.0,97029.0
20060102:0000,-6.29,91.7,0.0,-0.0,0.0,231.2,0.69,326.0,97058.0
20060102:0100,-7.18,92.65,0.0,-0.0,0.0,222.35,0.9,325.0,97125.0
20060102:0200,-8.95,94.15,0.0,-0.0,0.0,216.35,1.24,328.0,97211.0
20060102:0300,-10.25,94.4,0.0,-0.0,0.0,216.7,1.38,333.0,97288.0
20060102:0400,-10.99,92.35,0.0,-0.0,0.0,221.55,1.45,335.0,97326.0
20060102:0500,-11.99,91.5,0.0,-0.0,0.0,214.2,1.59,335.0,97374.0
20060102:0600,-12.78,90.65,0.0,-0.0,0.0,209.95,1.66,334.0,97460.0
20060102:0700,-12.97,90.2,0.0,-0.0,0.0,212.85,1.52,327.0,97518.0
20060102:0800,-13.44,89.9,0.0,-0.0,0.0,206.5,1.52,330.0,97614.0
20060102:0900,-13.53,89.5,14.0,0.0,14.0,209.8,1.45,330.0,97700.0
20060102:1000,-12.83,88.9,76.0,460.9,28.0,209.4,1.24,331.0,97767.0
20060102:1100,-11.4,86.9,79.0,249.0,48.0,206.7,1.03,331.0,97824.0
20060102:1200,-10.26,84.8,58.0,114.63,45.0,212.85,0.9,331.0,97843.0
20060102:1300,-10.83,86.5,25.0,27.93,23.0,213.85,1.03,333.0,97872.0
20060102:1400,-12.06,88.2,0.0,0.0,0.0,207.25,1.24,340.0,97939.0
20060102:1500,-12.6,87.85,0.0,-0.0,0.0,205.55,1.31,346.0,97987.0
20060102:1600,-12.72,87.35,0.0,-0.0,0.0,206.9,1.24,351.0,98064.0
20060102:1700,-12.95,87.05,0.0,-0.0,0.0,205.9,1.31,358.0,98073.0
20060102:1800,-12.99,86.9,0.0,-0.0,0.0,202.85,1.24,7.0,98150.0
20060102:1900,-11.93,85.1,0.0,-0.0,0.0,213.45,1.17,15.0,98188.0
20060102:2000,-11.86,85.6,0.0,-0.0,0.0,209.2,1.17,13.0,98227.0
20060102:2100,-11.72,87.0,0.0,-0.0,0.0,221.55,1.03,14.0,98275.0
20060102:2200,-11.94,88.9,0.0,-0.0,0.0,210.95,1.03,18.0,98255.0
20060102:2300,-12.26,90.65,0.0,-0.0,0.0,206.3,0.97,17.0,98284.0
20060103:0000,-12.75,90.15,0.0,-0.0,0.0,213.65,0.9,16.0,98294.0
20060103:0100,-13.38,89.45,0.0,-0.0,0.0,218.5,0.83,11.0,98294.0
20060103:0200,-13.31,89.55,0.0,-0.0,0.0,213.25,0.9,13.0,98351.0
20060103:0300,-12.93,89.4,0.0,-0.0,0.0,209.0,0.83,19.0,98322.0
20060103:0400,-12.75,88.9,0.0,-0.0,0.0,209.0,0.69,30.0,98361.0
20060103:0500,-12.61,88.2,0.0,-0.0,0.0,206.7,0.76,64.0,98351.0
20060103:0600,-12.68,89.45,0.0,-0.0,0.0,209.2,0.41,59.0,98332.0
20060103:0700,-14.16,87.65,0.0,-0.0,0.0,215.95,0.62,355.0,98389.0
20060103:0800,-13.93,87.75,0.0,-0.0,0.0,229.25,0.62,23.0,98428.0
20060103:0900,-13.51,87.55,7.0,0.0,7.0,227.35,0.76,51.0,98457.0
20060103:1000,-12.26,88.55,14.0,0.0,14.0,232.9,0.62,59.0,98437.0
20060103:1100,-10.75,88.65,19.0,0.0,19.0,237.15,0.28,23.0,98437.0
20060103:1200,-10.06,89.0,12.0,0.0,12.0,229.65,0.14,28.0,98457.0
20060103:1300,-9.04,89.05,6.0,0.0,6.0,244.7,0.28,44.0,98476.0
20060103:1400,-8.28,90.3,0.0,0.0,0.0,266.1,0.48,355.0,98476.0
20060103:1500,-8.05,91.55,0.0,-0.0,0.0,268.0,0.55,348.0,98504.0
20060103:1600,-8.07,92.4,0.0,-0.0,0.0,265.3,0.69,344.0,98552.0
20060103:1700,-8.4,93.25,0.0,-0.0,0.0,263.75,0.9,340.0,98600.0
20060103:1800,-8.73,93.05,0.0,-0.0,0.0,266.45,0.97,336.0,98658.0
20060103:1900,-8.52,92.95,0.0,-0.0,0.0,251.05,0.9,342.0,98706.0
20060103:2000,-8.64,93.15,0.0,-0.0,0.0,261.25,0.97,339.0,98782.0
20060103:2100,-8.57,92.9,0.0,-0.0,0.0,265.1,0.97,349.0,98859.0
20060103:2200,-9.49,92.3,0.0,-0.0,0.0,248.75,1.31,352.0,98888.0
20060103:2300,-9.48,92.2,0.0,-0.0,0.0,256.25,1.31,357.0,98974.0
20060104:0000,-9.63,91.95,0.0,-0.0,0.0,254.7,1.38,356.0,99031.0
20060104:0100,-9.77,91.55,0.0,-0.0,0.0,257.05,1.38,352.0,99079.0
20060104:0200,-9.72,91.55,0.0,-0.0,0.0,258.0,1.38,351.0,99146.0
20060104:0300,-9.83,91.25,0.0,-0.0,0.0,252.0,1.52,348.0,99242.0
20060104:0400,-10.15,91.0,0.0,-0.0,0.0,244.85,1.59,349.0,99328.0
20060104:0500,-10.19,90.6,0.0,-0.0,0.0,250.85,1.45,357.0,99357.0
20060104:0600,-10.63,90.5,0.0,-0.0,0.0,241.2,1.45,358.0,99386.0
20060104:0700,-10.44,90.85,0.0,-0.0,0.0,245.65,1.45,1.0,99453.0
20060104:0800,-10.49,90.55,0.0,-0.0,0.0,246.4,1.45,1.0,99529.0
20060104:0900,-10.8,90.35,7.0,0.0,7.0,235.45,1.38,3.0,99616.0
20060104:1000,-9.76,88.85,16.0,0.0,16.0,249.3,1.17,5.0,99625.0
20060104:1100,-8.81,87.1,19.0,0.0,19.0,256.25,1.1,7.0,99683.0
