,temp_air,ghi,dni,dhi,wind_speed
2021-01-01 00:00:00,0.26,0.0,-0.0,0.0,2.85
2021-01-01 01:00:00,-0.45,0.0,-0.0,0.0,2.78
2021-01-01 02:00:00,-1.16,0.0,-0.0,0.0,2.71
2021-01-01 03:00:00,-1.87,0.0,-0.0,0.0,2.64
2021-01-01 04:00:00,-2.58,0.0,-0.0,0.0,2.57
2021-01-01 05:00:00,-3.3,0.0,-0.0,0.0,2.5
2021-01-01 06:00:00,-4.01,0.0,-0.0,0.0,2.43
2021-01-01 07:00:00,-4.72,0.0,-0.0,0.0,2.36
2021-01-01 08:00:00,-2.42,0.0,-0.0,0.0,1.86
2021-01-01 09:00:00,-2.56,5.0,0.0,5.0,1.66
2021-01-01 10:00:00,-2.42,12.0,0.0,12.0,1.52
2021-01-01 11:00:00,-2.31,72.0,195.05,48.0,1.38
2021-01-01 12:00:00,-2.3,11.0,0.0,11.0,1.03
2021-01-01 13:00:00,-2.62,5.0,0.0,5.0,0.97
2021-01-01 14:00:00,-2.77,0.0,-0.0,0.0,1.1
2021-01-01 15:00:00,-3.04,0.0,-0.0,0.0,1.03
2021-01-01 16:00:00,-3.6,0.0,-0.0,0.0,0.97
2021-01-01 17:00:00,-3.69,0.0,-0.0,0.0,0.83
2021-01-01 18:00:00,-3.75,0.0,-0.0,0.0,0.69
2021-01-01 19:00:00,-4.29,0.0,-0.0,0.0,0.62
2021-01-01 20:00:00,-4.35,0.0,-0.0,0.0,0.55
2021-01-01 21:00:00,-4.85,0.0,-0.0,0.0,0.62
2021-01-01 22:00:00,-5.36,0.0,-0.0,0.0,0.69
2021-01-01 23:00:00,-5.78,0.0,-0.0,0.0,0.69
2021-01-02 00:00:00,-6.29,0.0,-0.0,0.0,0.69
2021-01-02 01:00:00,-7.18,0.0,-0.0,0.0,0.9
2021-01-02 02:00:00,-8.95,0.0,-0.0,0.0,1.24
2021-01-02 03:00:00,-10.25,0.0,-0.0,0.0,1.38
2021-01-02 04:00:00,-10.99,0.0,-0.0,0.0,1.45
2021-01-02 05:00:00,-11.99,0.0,-0.0,0.0,1.59
2021-01-02 06:00:00,-12.78,0.0,-0.0,0.0,1.66
2021-01-02 07:00:00,-12.97,0.0,-0.0,0.0,1.52
2021-01-02 08:00:00,-13.44,0.0,-0.0,0.0,1.52
2021-01-02 09:00:00,-13.53,14.0,0.0,14.0,1.45
2021-01-02 10:00:00,-12.83,76.0,460.9,28.0,1.24
2021-01-02 11:00:00,-11.4,79.0,249.0,48.0,1.03
2021-01-02 12:00:00,-10.26,58.0,114.63,45.0,0.9
2021-01-02 13:00:00,-10.83,25.0,27.93,23.0,1.03
2021-01-02 14:00:00,-12.06,0.0,0.0,0.0,1.24
2021-01-02 15:00:00,-12.6,0.0,-0.0,0.0,1.31
2021-01-02 16:00:00,-12.72,0.0,-0.0,0.0,1.24
2021-01-02 17:00:00,-12.95,0.0,-0.0,0.0,1.31
2021-01-02 18:00:00,-12.99,0.0,-0.0,0.0,1.24
2021-01-02 19:00:00,-11.93,0.0,-0.0,0.0,1.17
2021-01-02 20:00:00,-11.86,0.0,-0.0,0.0,1.17
